Timestamp,What is your highest level of education?,Which field or stream were you studying in?,Please specify your major/field of study (if applicable).,"On a scale of 1 to 5, how much did you enjoy your primary field of study?",What are your top three skills? (Select three),In which industry are you presently working?,Rate the importance of the following factors in your career choice: [Salary],Rate the importance of the following factors in your career choice: [Work-life balance],Rate the importance of the following factors in your career choice: [Career growth opportunities],Rate the importance of the following factors in your career choice: [Impact/Meaningfulness of work],Rate the importance of the following factors in your career choice: [Company culture],Rate the importance of the following factors in your career choice: [Location],What is your most preferred work environment?,How comfortable are you with using digital tools and technology?,How important was passion or personal interest in choosing your career?,Do you like working in teams? ,"How do you define ""career success""?",How confident are you in your ability to achieve your career goals?,Please provide any additional comments that might help us understand your career aspirations.,"Specify industry if choosing ""Other"" (Skip if industry previously chosen)"
11/4/2025 10:26:51,Master's Degree or Equivalent,Business & Management,Operations,4,"Data Analysis, Problem Solving, Project Management",Technology,Very Important,Moderately Important,Extremely Important,Very Important,Very Important,Moderately Important,Remote,4,2,4,Financial Achievements,3,,
11/4/2025 10:27:46,Bachelor's Degree or Equivalent,Engineering,,4,"Teamwork, Creativity, Project Management",Education,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Hybrid,4,4,4,Making a difference,4,,
11/4/2025 10:28:11,Master's Degree or Equivalent,Business & Management,NA,2,"Problem Solving, Teamwork, Project Management",Technology,Very Important,Extremely Important,Very Important,Slightly Important,Very Important,Moderately Important,Remote,3,1,2,Financial Achievements,2,,
11/4/2025 10:32:26,Master's Degree or Equivalent,Business & Management,,5,"Data Analysis, Communication, Leadership",Finance,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Remote,5,5,4,Financial Achievements,5,,
11/4/2025 10:36:30,Master's Degree or Equivalent,Business & Management,,5,"Data Analysis, Leadership, Project Management",Other,Very Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Hybrid,5,5,5,Job satisfaction,5,,
11/4/2025 11:54:35,Bachelor's Degree or Equivalent,Engineering,,3,"Programming, Data Analysis, Communication, Teamwork, Technical Writing",Technology,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important,Hybrid,4,3,4,Job satisfaction,4,,
11/4/2025 12:01:08,Bachelor's Degree or Equivalent,Engineering,,4,"Communication, Problem Solving, Teamwork, Technical Writing",Education,Slightly Important,Very Important,Extremely Important,Extremely Important,Moderately Important,Moderately Important,Flexible hours,5,4,4,Social recognition,3,,
11/4/2025 13:06:15,Bachelor's Degree or Equivalent,Engineering,Electronics & instrumentation,4,"Programming, Communication, Problem Solving",Technology,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,Hybrid,4,4,4,Making a difference,3,,
11/4/2025 13:12:57,Bachelor's Degree or Equivalent,Engineering,,4,"Programming, Communication, Problem Solving",Technology,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important,Remote,4,4,5,Making a difference,3,,
11/4/2025 16:35:13,Bachelor's Degree or Equivalent,Engineering,Electrical Engineering ,2,"Programming, Communication, Problem Solving",Technology,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Hybrid,5,5,5,Job satisfaction,5,NA,
11/4/2025 16:42:09,Master's Degree or Equivalent,Sciences/Mathematics,Medical,5,"Teamwork, Creativity, Leadership",Healthcare,Very Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important,Flexible hours,4,4,4,Making a difference,5,,
11/4/2025 19:47:47,Master's Degree or Equivalent,Business & Management,Strategy ,4,"Communication, Problem Solving, Teamwork",Technology,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Hybrid,4,4,5,Job satisfaction,5,,
11/5/2025 1:45:05,Master's Degree or Equivalent,Engineering,"Metallurgical Engineering, Business Administration",3,"Data Analysis, Communication, Problem Solving",Retail,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Hybrid,5,4,5,Making a difference,4,,
11/6/2025 11:23:13,Master's Degree or Equivalent,Business & Management,,3,"Data Analysis, Problem Solving, Project Management",Technology,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Hybrid,4,3,4,Making a difference,4,,
11/6/2025 11:23:53,Master's Degree or Equivalent,Business & Management,MBA - Marketing,3,"Data Analysis, Communication, Teamwork, Creativity, Leadership, Customer Service",Technology,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Hybrid,3,5,5,Social recognition,4,NA,
11/6/2025 11:29:55,Master's Degree or Equivalent,Commerce,Finance ,5,"Problem Solving, Teamwork, Leadership",Finance,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Collaborative,4,4,5,Making a difference,5,,
11/6/2025 11:33:48,Master's Degree or Equivalent,Business & Management,General management ,4,"Data Analysis, Problem Solving, Teamwork",Technology,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Slightly Important,Hybrid,5,5,4,Making a difference,4,,
11/6/2025 11:37:52,Master's Degree or Equivalent,Business & Management,Finance,5,"Data Analysis, Problem Solving, Project Management",Technology,Extremely Important,Very Important,Very Important,Slightly Important,Very Important,Moderately Important,Hybrid,4,3,4,Financial Achievements,4,,
11/6/2025 11:38:11,Master's Degree or Equivalent,Business & Management,Marketing ,5,"Problem Solving, Teamwork, Leadership",Marketing/Advertising,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Hybrid,4,3,5,Making a difference,5,NA,
11/6/2025 11:40:08,Bachelor's Degree or Equivalent,Engineering,Metallurgical & Materials engineering ,5,"Problem Solving, Teamwork, Leadership",Manufacturing,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,In-office,3,4,5,Social recognition,5,NA ,
11/6/2025 11:46:50,Master's Degree or Equivalent,Business & Management,Consulting,4,"Communication, Problem Solving, Teamwork",Technology,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Extremely Important,Extremely Important,Hybrid,5,5,5,Job satisfaction,5,,
11/6/2025 11:47:36,Master's Degree or Equivalent,Engineering,Mechanical Engineering,4,"Communication, Project Management, Other",Other,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Moderately Important,Flexible hours,5,5,5,Financial Achievements,5,,
11/6/2025 12:22:27,Master's Degree or Equivalent,Business & Management,MASTER OF BUSINESS ADMINISTRATION ,5,"Communication, Teamwork, Creativity, Leadership, Customer Service",Government,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Remote,5,5,5,Making a difference,5,,
11/6/2025 13:57:41,Master's Degree or Equivalent,Business & Management,Marketing,5,"Communication, Teamwork, Project Management",Other,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,In-office,4,4,4,Job satisfaction,5,,
11/6/2025 14:38:29,Bachelor's Degree or Equivalent,Engineering,Metallurgy & Material Engineering ,3,"Data Analysis, Problem Solving, Creativity",Manufacturing,Extremely Important,Extremely Important,Very Important,Moderately Important,Moderately Important,Very Important,Hybrid,5,3,3,Financial Achievements,4,,
11/6/2025 14:48:34,Master's Degree or Equivalent,Sciences/Mathematics,,5,"Creativity, Leadership, Project Management",Technology,Extremely Important,Extremely Important,Moderately Important,Not Important,Extremely Important,Extremely Important,Hybrid,5,3,1,Financial Achievements,5,,
11/6/2025 16:05:25,Master's Degree or Equivalent,Business & Management,Strategy ,5,"Data Analysis, Problem Solving, Leadership",Technology,Extremely Important,Moderately Important,Very Important,Extremely Important,Very Important,Extremely Important,In-office,5,4,5,Job satisfaction,5,,
11/6/2025 16:28:29,Master's Degree or Equivalent,Business & Management,"Marketing, Information Manavement",4,"Communication, Problem Solving, Leadership",Technology,Very Important,Very Important,Very Important,Moderately Important,Extremely Important,Slightly Important,Hybrid,5,5,4,Job satisfaction,5,,
11/6/2025 16:42:26,Master's Degree or Equivalent,Business & Management,General Management,4,"Problem Solving, Teamwork, Project Management",Other,Very Important,Very Important,Very Important,Very Important,Very Important,Slightly Important,Remote,4,3,5,Job satisfaction,4,,
11/6/2025 17:13:57,Master's Degree or Equivalent,Business & Management,Marketing,5,"Communication, Teamwork, Leadership",Technology,Very Important,Very Important,Extremely Important,Moderately Important,Very Important,Extremely Important,Remote,4,5,5,Social recognition,4,,
11/6/2025 17:58:07,High School Diploma or Equivalent,Business & Management,,4,"Communication, Problem Solving, Creativity",Technology,Extremely Important,Moderately Important,Very Important,Moderately Important,Very Important,Extremely Important,Hybrid,4,4,4,Making a difference,4,,
11/6/2025 18:00:02,Master's Degree or Equivalent,Business & Management,MBA in general mgmt,3,"Problem Solving, Leadership, Project Management",Technology,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Extremely Important,Hybrid,5,5,5,Financial Achievements,5,,
11/6/2025 18:03:27,Master's Degree or Equivalent,Sciences/Mathematics,Medicine,5,"Communication, Problem Solving, Creativity, Leadership, Customer Service",Healthcare,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Structured environment,4,5,3,Job satisfaction,4,,
11/6/2025 18:50:03,Master's Degree or Equivalent,Humanities & Law,English literature ,4,"Communication, Creativity, Other",Education,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Independent,4,3,3,Job satisfaction,3,,
11/6/2025 18:53:50,Master's Degree or Equivalent,Business & Management,,3,"Data Analysis, Communication, Project Management",Other,Very Important,Moderately Important,Very Important,Extremely Important,Moderately Important,Moderately Important,Hybrid,3,4,4,Making a difference,4,,
11/6/2025 19:47:21,Master's Degree or Equivalent,Business & Management,Marketing ,5,"Problem Solving, Creativity, Customer Service",Finance,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Hybrid,3,2,5,Job satisfaction,5,,
11/6/2025 21:55:10,Master's Degree or Equivalent,Engineering,,3,"Data Analysis, Communication, Project Management",Technology,Very Important,Moderately Important,Extremely Important,Slightly Important,Extremely Important,Extremely Important,Hybrid,5,4,5,Financial Achievements,5,,
11/6/2025 22:04:24,Master's Degree or Equivalent,Engineering,Metallurgical and Materials Engineering ,4,"Communication, Problem Solving, Teamwork, Leadership",Manufacturing,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Flexible hours,5,5,4,Social recognition,5,,
11/7/2025 8:25:36,Master's Degree or Equivalent,Business & Management,,1,"Communication, Problem Solving, Teamwork",Healthcare,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Remote,5,4,4,Job satisfaction,4,,
11/7/2025 10:14:53,Master's Degree or Equivalent,Business & Management,Marketing,5,"Problem Solving, Creativity, Leadership",Other,Extremely Important,Not Important,Extremely Important,Very Important,Moderately Important,Slightly Important,Hybrid,5,4,5,Financial Achievements,5,To open my own company and to get listed before  leaving is the goal.,
11/7/2025 13:02:21,Bachelor's Degree or Equivalent,Engineering,Diploma of Pharmacy,2,"Communication, Teamwork, Creativity",Consulting,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Flexible hours,5,5,1,Financial Achievements,5,"When you have money, you have also 100 problem. But when you dont have money ,you have only one problem. For me money isn't everything but i want money. So i work hard... 2.0",
11/7/2025 14:42:10,Bachelor's Degree or Equivalent,Sciences/Mathematics,,5,"Problem Solving, Teamwork, Leadership",Government,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,Flexible hours,4,5,5,Social recognition,4,,
11/7/2025 14:45:14,High School Diploma or Equivalent,Commerce,,5,"Programming, Data Analysis, Communication, Problem Solving, Teamwork, Leadership, Project Management, Customer Service",Government,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Slightly Important,Flexible hours,3,5,4,Financial Achievements,4,Urgent need ,
11/7/2025 14:46:10,Master's Degree or Equivalent,Business & Management,Systems and Finance,5,"Communication, Problem Solving, Teamwork, Creativity, Leadership, Project Management",Consulting,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Hybrid,5,5,5,Making a difference,5,,
11/7/2025 14:46:48,Master's Degree or Equivalent,Engineering,MECHANICAL ENGINEERING,5,Leadership,Education,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Collaborative,5,4,5,Making a difference,5,NONE,
11/7/2025 14:48:59,Master's Degree or Equivalent,Sciences/Mathematics,Nulear physics,3,"Communication, Problem Solving, Project Management",Education,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Slightly Important,Moderately Important,Collaborative,5,5,4,Making a difference,4,Energetic,
11/7/2025 14:58:40,Master's Degree or Equivalent,Arts & Entertainment,Arts- POST GRADUATION ,3,"Programming, Data Analysis, Problem Solving, Teamwork, Leadership",Education,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Flexible hours,3,3,4,Financial Achievements,4,Good Profile jobs,
11/7/2025 15:02:20,Bachelor's Degree or Equivalent,Engineering,Mechanical engineering ,5,"Problem Solving, Teamwork, Leadership, Project Management, Customer Service, Other",Manufacturing,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Hybrid,4,4,5,Job satisfaction,4,,
11/7/2025 15:10:41,Bachelor's Degree or Equivalent,Engineering,,4,"Communication, Problem Solving, Teamwork",Other,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Slightly Important,Hybrid,3,4,1,Making a difference,5,,
11/7/2025 15:15:43,Bachelor's Degree or Equivalent,Engineering,Data analytics,4,"Programming, Data Analysis, Problem Solving",Technology,Very Important,Moderately Important,Very Important,Very Important,Moderately Important,Moderately Important,Hybrid,5,5,5,Financial Achievements,5,,
11/7/2025 15:16:59,Bachelor's Degree or Equivalent,Engineering,,5,"Programming, Problem Solving, Teamwork",Technology,Very Important,Very Important,Very Important,Very Important,Extremely Important,Moderately Important,In-office,5,5,5,Making a difference,5,,
11/7/2025 15:21:45,Bachelor's Degree or Equivalent,Engineering,Electronics and communication ,5,"Data Analysis, Problem Solving, Teamwork, Creativity, Leadership, Project Management, Technical Writing",Finance,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Hybrid,5,5,5,Job satisfaction,5,,
11/7/2025 15:25:48,Bachelor's Degree or Equivalent,Engineering,MECHANICAL ENGINEERING,5,"Teamwork, Project Management, Customer Service, Technical Writing",Technology,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Hybrid,5,5,5,Making a difference,4,Team Work is the Key Tool for SUCCESS ,
